Word,Frequency,Percentage
purse,21,0.009148%
followed,21,0.009148%
search,21,0.009148%
sharp,21,0.009148%
canal,21,0.009148%
sonechka,21,0.009148%
gray,21,0.009148%
fixed,21,0.009148%
kissed,21,0.009148%
louse,20,0.008712%
beat,20,0.008712%
familiar,20,0.008712%
difficult,20,0.008712%
revolver,20,0.008712%
hardly,20,0.008712%
prospect,20,0.008712%
hours,20,0.008712%
worse,20,0.008712%
wrapped,20,0.008712%
capital,20,0.008712%
shop,20,0.008712%
return,20,0.008712%
constantly,20,0.008712%
conscience,20,0.008712%
fellow,20,0.008712%
situation,20,0.008712%
nevertheless,20,0.008712%
shoulder,20,0.008712%
papa,20,0.008712%
figure,20,0.008712%
previous,20,0.008712%
officer,20,0.008712%
books,20,0.008712%
hanging,20,0.008712%
legal,20,0.008712%
fourth,20,0.008712%
detail,20,0.008712%
tired,20,0.008712%
theory,20,0.008712%
pulling,20,0.008712%
mention,20,0.008712%
unbearable,20,0.008712%
social,20,0.008712%
rich,20,0.008712%
threshold,19,0.008277%
chill,19,0.008277%
fantastic,19,0.008277%
material,19,0.008277%
stayed,19,0.008277%
force,19,0.008277%
useful,19,0.008277%
proud,19,0.008277%
spot,19,0.008277%
clean,19,0.008277%
peasant,19,0.008277%
lessons,19,0.008277%
cases,19,0.008277%
single,19,0.008277%
reasons,19,0.008277%
madam,19,0.008277%
fail,19,0.008277%
lives,19,0.008277%
space,19,0.008277%
imagined,19,0.008277%
lose,19,0.008277%
wet,19,0.008277%
forever,19,0.008277%
earth,19,0.008277%
windows,19,0.008277%
round,19,0.008277%
married,19,0.008277%
mentioned,19,0.008277%
partly,19,0.008277%
bowed,19,0.008277%
fat,19,0.008277%
worn,19,0.008277%
weeping,19,0.008277%
direction,19,0.008277%
pride,19,0.008277%
hook,19,0.008277%
understanding,19,0.008277%
except,19,0.008277%
sad,19,0.008277%
son,19,0.008277%
pensively,19,0.008277%
song,19,0.008277%
pressed,19,0.008277%
line,19,0.008277%
arkady,19,0.008277%
beg,19,0.008277%
circumstance,19,0.008277%
calmly,19,0.008277%
hastily,19,0.008277%
age,19,0.008277%
woke,18,0.007841%
sign,18,0.007841%
broken,18,0.007841%
depravity,18,0.007841%
finish,18,0.007841%
amazement,18,0.007841%
absolutely,18,0.007841%
silver,18,0.007841%
sooner,18,0.007841%
lieutenant,18,0.007841%
accept,18,0.007841%
church,18,0.007841%
blue,18,0.007841%
underground,18,0.007841%
drunken,18,0.007841%
surely,18,0.007841%
semyon,18,0.007841%
horse,18,0.007841%
gold,18,0.007841%
scared,18,0.007841%
soup,18,0.007841%
considered,18,0.007841%
quiet,18,0.007841%
entire,18,0.007841%
shout,18,0.007841%
whip,18,0.007841%
studying,18,0.007841%
fresh,18,0.007841%
dry,18,0.007841%
result,18,0.007841%
hurried,18,0.007841%
y,18,0.007841%
common,18,0.007841%
turns,18,0.007841%
stared,18,0.007841%
instantly,18,0.007841%
faces,18,0.007841%
subject,18,0.007841%
irritably,18,0.007841%
hidden,18,0.007841%
spend,18,0.007841%
utterly,18,0.007841%
trembled,18,0.007841%
v,18,0.007841%
wild,17,0.007406%
slightest,17,0.007406%
grief,17,0.007406%
degree,17,0.007406%
sharply,17,0.007406%
unexpectedly,17,0.007406%
shouts,17,0.007406%
actually,17,0.007406%
alyona,17,0.007406%
led,17,0.007406%
pull,17,0.007406%
condition,17,0.007406%
linen,17,0.007406%
paid,17,0.007406%
recall,17,0.007406%
embrace,17,0.007406%
guilty,17,0.007406%
flushed,17,0.007406%
marry,17,0.007406%
loud,17,0.007406%
napoleon,17,0.007406%
crushed,17,0.007406%
freedom,17,0.007406%
recognized,17,0.007406%
ring,17,0.007406%
deal,17,0.007406%
leaned,17,0.007406%
shirt,17,0.007406%
decidedly,17,0.007406%
looks,17,0.007406%
wallpaper,17,0.007406%
assure,17,0.007406%
phrase,17,0.007406%
needed,17,0.007406%
streets,17,0.007406%
lenya,17,0.007406%
hospital,17,0.007406%
flashing,17,0.007406%
drank,17,0.007406%
lazarus,17,0.007406%
